26 Feb 2020 17:49:08,868 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=544, flightModel=fdgf, carrierName=dfg, seatCapacity=333]
26 Feb 2020 18:13:50,712 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=12355, flightModel=BS2W2, carrierName=ABCD, seatCapacity=50]
26 Feb 2020 18:15:49,205 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=12355, flightModel=BS2W2, carrierName=ABCD, seatCapacity=50]
26 Feb 2020 18:16:37,437 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=12355, flightModel=BS2W2, carrierName=ABCD, seatCapacity=50]
26 Feb 2020 18:16:37,438 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=12355, flightModel=BS2W3, carrierName=ABCD, seatCapacity=50]
26 Feb 2020 18:17:06,721 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=12355, flightModel=BS2W2, carrierName=ABCD, seatCapacity=50]
26 Feb 2020 18:17:06,721 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=12355, flightModel=BS2W2, carrierName=ABCD, seatCapacity=50]
26 Feb 2020 18:17:06,722 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=12355, flightModel=BS2W3, carrierName=ABCD, seatCapacity=50]
26 Feb 2020 18:17:49,256 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=12355, flightModel=BS2W2, carrierName=ABCD, seatCapacity=50]
26 Feb 2020 18:17:49,257 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=12355, flightModel=BS2W2, carrierName=ABCD, seatCapacity=50]
26 Feb 2020 18:17:49,257 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=12355, flightModel=BS2W3, carrierName=ABCD, seatCapacity=50]
26 Feb 2020 18:18:38,097 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=12355, flightModel=BS2W2, carrierName=ABCD, seatCapacity=50]
26 Feb 2020 18:18:38,098 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=12355, flightModel=BS2W2, carrierName=ABCD, seatCapacity=50]
26 Feb 2020 18:18:38,098 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=12355, flightModel=BS2W3, carrierName=ABCD, seatCapacity=50]
27 Feb 2020 09:04:40,941 INFO main com.capg.fms.dao.FlightDaoImpl - Flight Added: Flight [flightNumber=2121, flightModel=nbnbn, carrierName=mmnm, seatCapacity=212]
